breakout_date,breakout_price,breakout_return,future_price,future_return,is_winner,year
2001-09-19,4.449999809265137,6.189513960929616,4.64900016784668,4.4719183620460745,True,2001
2003-07-23,4.900000095367432,5.852847292997199,6.36299991607666,29.85713861704576,True,2003
2004-01-05,6.150000095367432,4.703506295003357,6.433000087738037,4.601625820848018,True,2004
2004-07-08,6.114999771118164,5.073648707127476,6.960999965667725,13.834836078740596,True,2004
2004-10-05,7.078999996185303,5.029677100580954,7.824999809265137,10.538208977000068,True,2004
2005-02-10,6.955999851226807,5.6982222835044505,9.357999801635742,34.53133987611145,True,2005
2006-03-30,11.140000343322754,4.921882764806318,13.390000343322754,20.197485912544302,True,2006
2006-04-28,12.399999618530273,8.340015553991842,13.444999694824219,8.427420229370986,True,2006
2006-05-09,13.59000015258789,5.096143507588602,13.361000061035156,-1.685063200747108,False,2006
2006-05-23,12.350000381469727,6.029954405797966,13.03499984741211,5.546554208776985,True,2006
2006-06-30,10.300000190734863,5.584047750720456,12.621999740600586,22.543684532689873,True,2006
2006-07-05,11.15999984741211,4.633987321669153,12.468999862670898,11.729390978104117,True,2006
2008-03-05,19.399999618530273,4.797844535728579,13.104999542236328,-32.44845463956174,False,2008
2008-09-17,10.729999542236328,11.0686293652569,17.243000030517578,60.6989819770656,True,2008
2008-09-18,11.9399995803833,8.846814871377484,17.042999267578125,42.73869234952692,True,2008
2008-11-21,9.380000114440918,5.041550614271961,18.60300064086914,98.3262304254028,True,2008
2009-01-16,11.0,7.437616246217105,18.784000396728516,70.76363997025923,True,2009
2009-01-23,11.345000267028809,5.062954930849584,17.131000518798828,51.00044174159672,True,2009
2009-03-19,13.399999618530273,12.970713100205323,17.017000198364258,26.992542408972852,True,2009
2009-05-04,12.425000190734863,4.911866123683617,17.81800079345703,43.404430743941944,True,2009
2009-09-03,15.380000114440918,6.049540333957593,19.915000915527344,29.486350892990735,True,2009
2009-10-06,16.989999771118164,4.602435695567153,23.020000457763672,35.49147008757526,True,2009
2009-11-16,18.0,5.872184807908476,25.229000091552734,40.16111161973741,True,2009
2010-05-07,17.479999542236328,5.350716414232548,35.28300094604492,101.84783678507432,True,2010
2010-06-07,17.309999465942383,4.991318199568884,36.7760009765625,112.45524038819119,True,2010
2010-11-04,25.489999771118164,6.5774410737611255,34.487998962402344,35.30011483750385,True,2010
2010-11-18,26.34000015258789,5.186811290259619,31.493000030517578,19.56340109369137,True,2010
2011-05-18,34.439998626708984,4.79575626307287,27.996000289916992,-18.710797310527557,False,2011
2011-07-05,33.83000183105469,5.069152284470846,28.243000030517578,-16.51493200750716,False,2011
2011-07-13,36.130001068115234,7.070075157958899,27.13599967956543,-24.893443461553122,False,2011
2011-10-06,30.34000015258789,5.45238614873671,34.51599884033203,13.764003515958926,True,2011
2011-10-27,33.935001373291016,5.418884487241726,32.01100158691406,-5.6696617312980635,False,2011
2012-01-03,28.110000610351562,5.947985456663396,29.895999908447266,6.353608179709556,True,2012
2012-06-29,26.235000610351562,5.078676405987448,19.68899917602539,-24.951405687192214,False,2012
2013-04-25,23.600000381469727,5.7426908294790024,19.684999465942383,-16.5889866620567,False,2013
2013-06-28,18.184999465942383,4.953322293840556,21.006999969482422,15.518287524974625,True,2013
2013-07-22,19.524999618530273,5.399008841690756,20.96500015258789,7.37516293055893,True,2013
2013-08-15,21.729999542236328,5.270651989922159,19.489999771118164,-10.308328662245502,False,2013
2014-02-14,20.520000457763672,5.033107960235461,16.36199951171875,-20.263162053058124,False,2014
2014-12-01,14.100000381469727,7.482732085681798,14.055000305175781,-0.3191494686275653,False,2014
2014-12-09,16.280000686645508,5.334236508883827,14.163999557495117,-12.997549385155416,False,2014
2015-03-20,16.2549991607666,4.776997313266329,15.840999603271484,-2.5469060527197995,False,2015
2015-04-27,15.9350004196167,4.8557344100846,17.106000900268555,7.348606525358489,True,2015
2015-10-02,14.40999984741211,5.177171011113724,18.795000076293945,30.430258676715656,True,2015
2016-03-17,15.595000267028809,5.310895387617465,17.549999237060547,12.536062433836742,True,2016
2016-07-01,18.774999618530273,5.1770522832343735,15.927000045776367,-15.169105888785369,False,2016
2019-09-03,18.25,4.916145357905566,28.486000061035156,56.08767156731592,True,2019
2020-03-23,12.899999618530273,7.093695084472662,25.200000762939453,95.34884890028042,True,2020
2020-03-24,13.359999656677246,7.591680008491841,25.201000213623047,88.63024596731738,True,2020
2020-04-02,14.154999732971191,4.811145293306218,24.76300048828125,74.94172345761957,True,2020
2020-04-06,14.550000190734863,4.6758118370696655,25.232999801635742,73.42267677565798,True,2020
2020-04-09,15.140000343322754,5.598465407286035,24.85300064086914,64.15455797416904,True,2020
2020-05-15,16.5049991607666,5.639562874834025,28.260000228881836,71.22085226188678,True,2020
2020-07-21,20.274999618530273,6.822695059660089,25.238000869750977,24.47842833340812,True,2020
2020-07-22,21.895000457763672,7.377775790309293,25.364999771118164,15.848363739696007,True,2020
2020-07-27,24.19499969482422,7.313220038098467,24.631999969482422,1.8061594551360378,True,2020
2020-08-04,25.774999618530273,6.650265605537453,25.445999145507812,-1.2764325039443822,False,2020
2020-08-17,26.56999969482422,6.054092010964496,23.648000717163086,-10.997361728349333,False,2020
2020-12-01,22.649999618530273,6.652172374746335,22.298999786376953,-1.5496681592266455,False,2020
2022-03-01,24.34000015258789,4.815074638785233,20.766000747680664,-14.683645778561058,False,2022
2022-07-28,19.020000457763672,6.866815083403455,24.854000091552734,30.672973151310906,True,2022
2022-09-12,19.315000534057617,5.879505622783343,22.91200065612793,18.622832112936365,True,2022
2022-10-03,20.170000076293945,8.22257431718727,20.95599937438965,3.8968730546486112,True,2022
2022-11-04,19.950000762939453,6.966454178590875,22.507999420166016,12.822047916802507,True,2022
2022-12-01,22.06999969482422,5.0440832096138255,24.55500030517578,11.25963137613607,True,2022
2022-12-20,23.084999084472656,4.624606214367133,24.30699920654297,5.293481353838344,True,2022
2023-03-13,20.690000534057617,6.959505607745409,24.958999633789062,20.633151230249055,True,2023
2023-12-14,23.764999389648438,6.4357998866998445,30.69700050354004,29.168951365136763,True,2023
2024-05-17,29.760000228881836,4.658688443724435,32.97999954223633,10.819890082626777,True,2024
